sensorId,time,lapId,units,sensorValue,session
tempBackRight,16:10:00.000,1,degreeCel,20.68337,R1
tempBackRight,16:10:00.000,1,degreeCel,20.69913,R1
tempBackLeft,16:10:00.000,1,degreeCel,20.12767,R1
tempFrontLeft,16:10:00.000,1,degreeCel,20.05274,R1
tempBackLeft,16:10:00.001,1,degreeCel,20.52281,R1
tempFrontRight,16:10:00.002,1,degreeCel,20.66097,R1
tempFrontRight,16:10:00.002,1,degreeCel,20.48142,R1
tempBackLeft,16:10:00.003,1,degreeCel,20.88621,R1
tempFrontRight,16:10:00.003,1,degreeCel,20.0192,R1
tempBackRight,16:10:00.004,1,degreeCel,20.77098,R1
tempBackLeft,16:10:00.005,1,degreeCel,20.9967,R1
tempBackLeft,16:10:00.007,1,degreeCel,20.56581,R1
tempFrontLeft,16:10:00.009,1,degreeCel,20.97065,R1
tempBackRight,16:10:00.009,1,degreeCel,20.44666,R1
tempBackLeft,16:10:00.010,1,degreeCel,20.32261,R1
tempFrontRight,16:10:00.013,1,degreeCel,20.98844,R1
tempFrontRight,16:10:00.013,1,degreeCel,20.64629,R1
tempBackLeft,16:10:00.014,1,degreeCel,20.64413,R1
tempBackRight,16:10:00.022,1,degreeCel,20.59191,R1
tempFrontLeft,16:10:00.025,1,degreeCel,20.12281,R1
tempFrontRight,16:10:00.025,1,degreeCel,20.30913,R1
tempBackLeft,16:10:00.027,1,degreeCel,20.4767,R1
tempBackRight,16:10:00.030,1,degreeCel,20.14091,R1
tempFrontLeft,16:10:00.031,1,degreeCel,20.63024,R1
tempBackRight,16:10:00.031,1,degreeCel,20.1039,R1
tempBackRight,16:10:00.033,1,degreeCel,20.1013,R1
tempBackLeft,16:10:00.038,1,degreeCel,20.25283,R1
tempFrontRight,16:10:00.042,1,degreeCel,20.34888,R1
tempBackRight,16:10:00.046,1,degreeCel,20.98374,R1
tempFrontRight,16:10:00.046,1,degreeCel,20.91932,R1
tempFrontLeft,16:10:00.048,1,degreeCel,20.05805,R1
tempFrontLeft,16:10:00.051,1,degreeCel,20.76663,R1
tempBackRight,16:10:00.053,1,degreeCel,20.76679,R1
tempFrontRight,16:10:00.054,1,degreeCel,20.78323,R1
tempBackRight,16:10:00.061,1,degreeCel,20.79648,R1
tempFrontRight,16:10:00.061,1,degreeCel,20.46724,R1
tempBackLeft,16:10:00.061,1,degreeCel,20.06374,R1
tempBackLeft,16:10:00.062,1,degreeCel,20.99875,R1
tempFrontLeft,16:10:00.063,1,degreeCel,20.41829,R1
tempFrontLeft,16:10:00.068,1,degreeCel,20.97494,R1
tempFrontRight,16:10:00.070,1,degreeCel,20.9233,R1
tempFrontRight,16:10:00.071,1,degreeCel,20.88784,R1
tempFrontRight,16:10:00.071,1,degreeCel,20.99252,R1
tempBackRight,16:10:00.077,1,degreeCel,20.66797,R1
tempFrontLeft,16:10:00.078,1,degreeCel,20.18275,R1
tempBackRight,16:10:00.090,1,degreeCel,20.10178,R1
tempFrontLeft,16:10:00.091,1,degreeCel,20.2504,R1
tempBackLeft,16:10:00.092,1,degreeCel,20.9083,R1
tempFrontRight,16:10:00.093,1,degreeCel,20.37557,R1
tempBackLeft,16:10:00.098,1,degreeCel,20.90561,R1
tempFrontRight,16:10:00.103,1,degreeCel,20.21869,R1
tempFrontRight,16:10:00.104,1,degreeCel,20.5869,R1
tempBackLeft,16:10:00.112,1,degreeCel,20.30182,R1
tempFrontRight,16:10:00.116,1,degreeCel,20.92884,R1
tempFrontRight,16:10:00.121,1,degreeCel,20.99885,R1
tempBackRight,16:10:00.122,1,degreeCel,20.0373,R1
tempBackRight,16:10:00.122,1,degreeCel,20.04795,R1
tempFrontRight,16:10:00.122,1,degreeCel,20.04496,R1
tempBackRight,16:10:00.132,1,degreeCel,20.00848,R1
tempBackLeft,16:10:00.136,1,degreeCel,20.00104,R1
tempBackRight,16:10:00.139,1,degreeCel,20.29037,R1
tempFrontRight,16:10:00.153,1,degreeCel,20.65602,R1
tempFrontLeft,16:10:00.154,1,degreeCel,20.93791,R1
tempBackLeft,16:10:00.154,1,degreeCel,20.28528,R1
tempFrontRight,16:10:00.155,1,degreeCel,20.44761,R1
tempBackLeft,16:10:00.162,1,degreeCel,20.7786,R1
tempBackLeft,16:10:00.181,1,degreeCel,20.95584,R1
tempFrontRight,16:10:00.183,1,degreeCel,20.95502,R1
tempBackRight,16:10:00.184,1,degreeCel,20.31196,R1
tempBackLeft,16:10:00.185,1,degreeCel,20.7105,R1
tempFrontLeft,16:10:00.188,1,degreeCel,20.50186,R1
tempBackRight,16:10:00.189,1,degreeCel,20.49486,R1
tempFrontRight,16:10:00.189,1,degreeCel,20.43282,R1
tempFrontRight,16:10:00.189,1,degreeCel,20.01939,R1
tempFrontRight,16:10:00.192,1,degreeCel,20.69985,R1
tempFrontLeft,16:10:00.193,1,degreeCel,20.19911,R1
tempBackRight,16:10:00.194,1,degreeCel,20.36563,R1
tempFrontRight,16:10:00.195,1,degreeCel,20.00283,R1
tempFrontLeft,16:10:00.202,1,degreeCel,20.83988,R1
tempFrontLeft,16:10:00.207,1,degreeCel,20.13456,R1
tempBackLeft,16:10:00.212,1,degreeCel,20.37215,R1
tempFrontLeft,16:10:00.222,1,degreeCel,20.33375,R1
tempFrontRight,16:10:00.227,1,degreeCel,20.65635,R1
tempFrontRight,16:10:00.233,1,degreeCel,20.82865,R1
tempBackLeft,16:10:00.238,1,degreeCel,20.52499,R1
tempFrontLeft,16:10:00.259,1,degreeCel,20.61416,R1
tempFrontLeft,16:10:00.260,1,degreeCel,20.92429,R1
tempFrontRight,16:10:00.262,1,degreeCel,20.02269,R1
tempFrontRight,16:10:00.262,1,degreeCel,20.84585,R1
tempFrontLeft,16:10:00.272,1,degreeCel,20.9723,R1
tempFrontRight,16:10:00.275,1,degreeCel,20.99817,R1
tempBackRight,16:10:00.277,1,degreeCel,20.38241,R1
tempFrontRight,16:10:00.278,1,degreeCel,20.71827,R1
tempBackLeft,16:10:00.290,1,degreeCel,20.00048,R1
tempBackRight,16:10:00.292,1,degreeCel,20.61292,R1
tempFrontLeft,16:10:00.297,1,degreeCel,20.48692,R1
tempBackRight,16:10:00.300,1,degreeCel,20.93718,R1
tempBackRight,16:10:00.303,1,degreeCel,20.43188,R1
tempBackRight,16:10:00.304,1,degreeCel,20.61125,R1
tempFrontRight,16:10:00.306,1,degreeCel,20.26485,R1
tempBackLeft,16:10:00.307,1,degreeCel,20.74364,R1
tempBackRight,16:10:00.322,1,degreeCel,20.19633,R1
tempFrontLeft,16:10:00.332,1,degreeCel,20.11044,R1
tempFrontLeft,16:10:00.332,1,degreeCel,20.95143,R1
tempBackLeft,16:10:00.340,1,degreeCel,20.03514,R1
tempBackLeft,16:10:00.343,1,degreeCel,20.55429,R1
tempFrontRight,16:10:00.347,1,degreeCel,20.94812,R1
tempFrontRight,16:10:00.354,1,degreeCel,20.20137,R1
tempBackLeft,16:10:00.371,1,degreeCel,20.00418,R1
tempBackLeft,16:10:00.372,1,degreeCel,20.14676,R1
tempBackRight,16:10:00.392,1,degreeCel,20.99721,R1
tempFrontLeft,16:10:00.395,1,degreeCel,20.23894,R1
tempFrontRight,16:10:00.405,1,degreeCel,20.76516,R1
tempFrontRight,16:10:00.416,1,degreeCel,20.03651,R1
tempFrontRight,16:10:00.419,1,degreeCel,20.23185,R1
tempBackRight,16:10:00.422,1,degreeCel,20.00485,R1
tempFrontRight,16:10:00.425,1,degreeCel,20.34511,R1
tempFrontLeft,16:10:00.428,1,degreeCel,20.98699,R1
tempBackLeft,16:10:00.431,1,degreeCel,20.99169,R1
tempFrontLeft,16:10:00.432,1,degreeCel,20.15371,R1
tempFrontLeft,16:10:00.435,1,degreeCel,20.30494,R1
tempBackLeft,16:10:00.437,1,degreeCel,20.83377,R1
tempBackLeft,16:10:00.437,1,degreeCel,20.93118,R1
tempBackLeft,16:10:00.439,1,degreeCel,20.17849,R1
tempFrontRight,16:10:00.445,1,degreeCel,20.1258,R1
tempFrontRight,16:10:00.451,1,degreeCel,20.42064,R1
tempFrontRight,16:10:00.454,1,degreeCel,20.77924,R1
tempBackLeft,16:10:00.457,1,degreeCel,20.26073,R1
tempBackLeft,16:10:00.459,1,degreeCel,20.02497,R1
tempBackRight,16:10:00.464,1,degreeCel,20.55304,R1
tempBackLeft,16:10:00.465,1,degreeCel,20.84717,R1
tempBackRight,16:10:00.481,1,degreeCel,20.24256,R1
tempBackLeft,16:10:00.483,1,degreeCel,20.52864,R1
tempFrontLeft,16:10:00.484,1,degreeCel,20.0165,R1
tempBackRight,16:10:00.487,1,degreeCel,20.23809,R1
tempBackRight,16:10:00.491,1,degreeCel,20.56453,R1
tempBackRight,16:10:00.498,1,degreeCel,20.38263,R1
tempFrontLeft,16:10:00.504,1,degreeCel,20.84251,R1
tempFrontRight,16:10:00.510,1,degreeCel,20.31259,R1
tempFrontLeft,16:10:00.517,1,degreeCel,20.98216,R1
tempFrontRight,16:10:00.521,1,degreeCel,20.76251,R1
tempFrontRight,16:10:00.547,1,degreeCel,20.45711,R1
tempBackLeft,16:10:00.550,1,degreeCel,20.10254,R1
tempBackRight,16:10:00.552,1,degreeCel,20.7458,R1
tempFrontLeft,16:10:00.561,1,degreeCel,20.76379,R1
tempBackRight,16:10:00.567,1,degreeCel,20.09376,R1
tempBackLeft,16:10:00.586,1,degreeCel,20.3054,R1
tempFrontRight,16:10:00.588,1,degreeCel,20.97459,R1
tempBackLeft,16:10:00.589,1,degreeCel,20.56994,R1
tempFrontRight,16:10:00.592,1,degreeCel,20.70263,R1
tempBackRight,16:10:00.605,1,degreeCel,20.75321,R1
tempFrontRight,16:10:00.609,1,degreeCel,20.67136,R1
tempFrontRight,16:10:00.610,1,degreeCel,20.93633,R1
tempBackRight,16:10:00.611,1,degreeCel,20.58553,R1
tempFrontLeft,16:10:00.622,1,degreeCel,20.14018,R1
tempBackRight,16:10:00.628,1,degreeCel,20.98218,R1
tempFrontLeft,16:10:00.636,1,degreeCel,20.52816,R1
tempBackLeft,16:10:00.650,1,degreeCel,20.1819,R1
tempFrontRight,16:10:00.666,1,degreeCel,20.48262,R1
tempBackRight,16:10:00.668,1,degreeCel,20.4259,R1
tempFrontLeft,16:10:00.671,1,degreeCel,20.53591,R1
tempFrontLeft,16:10:00.696,1,degreeCel,20.1769,R1
tempBackRight,16:10:00.702,1,degreeCel,20.21943,R1
